Examine datafile 'features-train.csv' gave the following results:
Number of Features: 2330
InputFormat       : C4.5

Phase 1: Reading Datafile: features-train.csv
Start:          0 @ Mon Oct 23 01:20:13 2017
Finished:    2915 @ Mon Oct 23 01:20:15 2017
Calculating Entropy         Mon Oct 23 01:20:15 2017
Lines of data     : 2915
DB Entropy        : 0.10474364
Number of Classes : 3

Feats	Vals	InfoGain	GainRatio
  145      3	0.0044626308	0.27648950
  146      3	0.0044756417	0.19739514
  147      3	0.0044561287	0.35246437
  148      3	0.0044691351	0.22954507
  149      3	0.0044496289	0.50074077
  150      3	0.0048237521	0.033199600
  151      3	0.0044561287	0.35246437
  152      3	0.0046193590	0.057525229
  153      3	0.0053300518	0.062787753
  154      3	0.0044626308	0.27648950
  155      3	0.0044626308	0.27648950
  156      3	0.0044496289	0.50074077
  157      3	0.0044626308	0.27648950
  158      3	0.0046128025	0.059153859
  159      3	0.0044496289	0.50074077
  160      3	0.0044496289	0.50074077
  161      3	0.0044496289	0.50074077
  162      3	0.0050455473	0.13465884
  163      3	0.0045800543	0.069324600
  164      3	0.0044496289	0.50074077
  165      3	0.0051920394	0.030273845
  166      3	0.0044821505	0.17387724
  167      3	0.0044561287	0.35246437
  168      3	0.0045082084	0.12031799
  169      3	0.0044626308	0.27648950
  170      3	0.0044886616	0.15586287
  171      3	0.0044496289	0.50074077
  172      3	0.0044496289	0.50074077
  173      3	0.0044496289	0.50074077
  174      3	0.0044691351	0.22954507
  175      3	0.0045212509	0.10517118
  176      3	0.0044496289	0.50074077
  177      3	0.0044496289	0.50074077
  178      3	0.0044496289	0.50074077
  179      3	0.0046259178	0.056000699
  180      3	0.0045931468	0.064786885
  181      3	0.0052868275	0.020114342
  182      3	0.0044626308	0.27648950
  183      3	0.0055536992	0.017376058
  184      3	0.0044691351	0.22954507
  185      3	0.0044496289	0.50074077
  186      3	0.0044496289	0.50074077
  187      3	0.0044496289	0.50074077
  188      3	0.0044496289	0.50074077
  189      3	0.0044496289	0.50074077
  190      3	0.0044496289	0.50074077
  191      3	0.0044496289	0.50074077
  192      3	0.0044496289	0.50074077
  193      3	0.0044496289	0.50074077
  194      3	0.0047048020	0.043163197
  195      3	0.0044496289	0.50074077
  196      3	0.0044496289	0.50074077
  197      3	0.0044496289	0.50074077
  198      3	0.0044756417	0.19739514
  199      3	0.0045664018	0.046473248
  200      3	0.0044496289	0.50074077
  201      3	0.0045538968	0.081156347
  202      3	0.0045343025	0.093793703
  203      3	0.0044561287	0.35246437
  204      3	0.0044951750	0.14158573
  205      3	0.0047245748	0.040979228
  206      3	0.0044496289	0.50074077
  207      3	0.0045993937	0.023849594
  208      3	0.0044496289	0.50074077
  209      3	0.0045408316	0.089095978
  210      3	0.0045082084	0.12031799
  211      3	0.0044496289	0.50074077
  212      3	0.0048502880	0.031713321
  213      3	0.0049636144	0.11546122
  214      3	0.0048969205	0.10129459
  215      3	0.0045735115	0.071891354
  216      3	0.0044496289	0.50074077
  217      3	0.0044496289	0.50074077
  218      3	0.0044561287	0.35246437
  219      3	0.0044561287	0.35246437
  220      3	0.0044496289	0.50074077
  221      3	0.0047270017	0.013630755
  222      3	0.0044496289	0.50074077
